Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1;1001801;Receipt of salary in the account;Buying a car;1;0.49;male;0;0;average;worker;>250;0;36;28;Trade;Limited Liability Company   (ООО);single, not married;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;
1;1001821;personal income tax 2NDFL;Repair;1;0.14;female;1;0;Higher;support staff;< 50;0;27;41;Legal services;Other form;married;0;0;0;0;0;0.1382978723;0;0;0;0;0;0;3;81;3;0;2;58;72;1;0;0;0;0;0;0
1;1001841;personal income tax 2NDFL;Repair;1;0.29;female;2;0;Higher / Second higher / Academic degree;specialist;>250;0;41;42;Trade;Public corporation (ОАО);married;2;2;1;1;1;0;0;0;0;0;1;3;0;34;3;1;0;11;32;0;0;0;0;0;0;0
1;1001861;Receipt of salary in the account;Purchase of household appliances;0;0.42;male;1;0;average-специальное;specialist;>250;0;35;25;Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001881;personal income tax 2NDFL;Purchase of real estate / construction;1;0.09;male;1;0;Higher;middle manager;>250;3;216;43;Legal services;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001901;Receipt of salary in the account;Buying a car;0;0.34;male;0;0;Higher / Second higher / Academic degree;middle manager;>250;0;102;26;Other;closed joint stock company (ЗАО);single, not married;0;0;0;0;0;0.0153846154;0;0;0;0;0.1666666667;1;5;64;6;0;2;5;33;1;0;0;0;0;0;0
1;1001921;Bank form (without the employer's seal);Repair;0;0.56;male;0;0;Higher;support staff;>250;0;77;47;public service;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001941;Bank form (without the employer's seal);Repair;0;0.25;female;1;0;Higher;middle manager;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001961;Bank form (without the employer's seal);Other;1;0.21;female;1;0;Higher;specialist;< 50;0;188;51;Other;Limited Liability Company   (ООО);married;0;0;0;0;0;0.0303030303;0;0;0;0;0.2;1;4;96;5;0;1;7;79;1;0;0;0;0;0;0
1;1001981;personal income tax 2NDFL;Repair;0;0.56;female;0;0;Higher / Second higher / Academic degree;support staff;>250;0;10;43;public service;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002001;Bank form (without the employer's seal);Buying a car;0;0.21;male;0;0;Higher;specialist;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002021;Receipt of salary in the account;Repair;1;0.21;male;2;0;average;specialist;>250;1;6;34;Other;Limited Liability Company   (ООО);married;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;2;2;0;0;0;0;0;0;0
1;1002041;Bank form (without the employer's seal);Repair;1;0.14;male;0;0;unfinished Higher;Sales Manager;>250;0;76;29;Trade;Limited Liability Company   (ООО);single, not married;1;1;1;1;1;0.1526717557;1;0;0;0;0.4285714286;3;4;111;7;3;2;11;59;1;0;0;0;0;0;0
1;1002061;Bank form (without the employer's seal);Repair;1;0.35;female;0;0;Higher / Second higher / Academic degree;specialist;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002081;Bank form (without the employer's seal);Repair;1;0.26;male;0;0;Higher;worker;>250;0;6;30;Trade;Limited Liability Company   (ООО);single, not married;1;1;0;0;0;0.3039215686;1;0;0;0;0.3333333333;2;1;71;3;1;1;8;80;1;0;0;0;0;0;0
1;1002101;Free form with the seal of the employer;Repair;0;0.35;male;2;0;Higher;senior manager;< 50;1;8;29;Trade;Limited Liability Company   (ООО);remarriage;1;1;0;0;0;0;0;0;0;0;0.6666666667;2;1;100;3;2;1;28;46;0;0;0;0;0;0;0
1;1002121;Receipt of salary in the account;Buying a car;1;0.21;female;1;0;Higher;Sales Representative;>250;0;44;33;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002141;Free form with the seal of the employer;Repair;1;0.32;female;0;0;Higher;support staff;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002161;Receipt of salary in the account;Buying a car;1;0.49;female;0;0;Higher;support staff;< 50;1;9;25;Trade;Limited Liability Company   (ООО);single, not married;0;0;0;0;0;0.0322580645;0;0;0;0;0.5;1;1;30;2;1;0;11;73;1;0;0;0;0;0;0
1;1002181;Receipt of salary in the account;Buying a car;1;0.34;female;0;0;Higher;specialist;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002201;Free form with the seal of the employer;Repair;1;0.24;female;2;0;Higher;support staff;< 50;0;32;39;Trade;Limited Liability Company   (ООО);married;15;15;9;8;7;0.0273972603;0;0;0;0;0.1666666667;1;5;71;6;0;0;22;76;1;0;0;0;0;0;0
1;1002221;personal income tax 2NDFL;Repair;1;0.5;male;0;0;Higher;specialist;>250;0;459;38;public service;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002241;personal income tax 2NDFL;Repair;1;0.36;male;0;0;Higher;specialist;>250;0;142;32;Transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002261;Receipt of salary in the account;Buying a car;0;0.27;male;0;0;Higher;middle manager;>250;1;6;49;Building;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002281;Receipt of salary in the account;Treatment;1;0.36;female;1;0;Higher;specialist;>250;0;29;30;Trade;Limited Liability Company   (ООО);single, not married;2;0;0;0;0;0;0;1;1;0;1;1;0;2;1;0;0;2;2;0;0;0;0;0;0;0
1;1002301;Receipt of salary in the account;Repair;1;0.18;female;0;0;Higher;specialist;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1002321;Bank form (without the employer's seal);Repair;1;0.59;male;2;0;unfinished Higher;support staff;>250;0;82;44;Transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;
